,Severity,Distance(mi),Side,State,State_Number,Timezone,Temperature(F),Humidity(%),Visibility(mi),Weather_Condition,Day_Night
1813,2,0.362,0,CA,0,US/Pacific,61.0,62.0,10.0,4,1
1814,2,0.481,0,CA,0,US/Pacific,61.0,60.0,10.0,4,1
1815,2,0.046,0,CA,0,US/Pacific,61.0,60.0,10.0,4,1
1816,2,0.409,0,CA,0,US/Pacific,63.0,59.0,10.0,4,1
1817,2,0.402,0,CA,0,US/Pacific,69.0,49.0,10.0,3,1
1818,2,0.009,1,CA,0,US/Pacific,64.0,64.0,10.0,4,1
1819,2,0.0579999999999999,0,CA,0,US/Pacific,76.0,33.0,10.0,4,1
1820,2,0.49,0,CA,0,US/Pacific,58.0,67.0,10.0,3,1
1821,2,0.435,0,CA,0,US/Pacific,72.0,49.0,10.0,4,1
1822,2,0.004,1,CA,0,US/Pacific,74.0,47.0,10.0,4,1
1823,2,0.602,0,CA,0,US/Pacific,66.0,56.0,10.0,4,1
1824,2,0.409,0,CA,0,US/Pacific,77.0,22.0,10.0,4,1
1825,2,0.3389999999999999,0,CA,0,US/Pacific,66.0,52.0,10.0,4,1
1826,2,0.4589999999999999,0,CA,0,US/Pacific,68.0,49.0,10.0,3,1
1827,2,0.633,0,CA,0,US/Pacific,77.0,22.0,10.0,4,1
1828,2,0.363,0,CA,0,US/Pacific,74.0,34.0,10.0,4,1
1829,2,0.281,0,CA,0,US/Pacific,80.0,25.0,10.0,4,1
1830,2,0.069,0,CA,0,US/Pacific,78.0,27.0,10.0,3,1
1831,2,0.256,0,CA,0,US/Pacific,78.0,27.0,10.0,3,1
1832,4,0.0,0,CA,0,US/Pacific,68.0,43.0,10.0,4,1
1833,2,0.21,0,CA,0,US/Pacific,68.0,49.0,10.0,3,1
1834,2,0.552,0,CA,0,US/Pacific,59.0,62.0,10.0,3,1
1835,2,0.228,0,CA,0,US/Pacific,73.0,35.0,10.0,4,1
1836,2,0.57,0,CA,0,US/Pacific,79.0,27.0,10.0,4,1
1837,2,0.255,0,CA,0,US/Pacific,65.0,54.0,10.0,3,1
1838,2,0.4589999999999999,0,CA,0,US/Pacific,68.0,42.0,10.0,3,1
1839,2,0.132,0,CA,0,US/Pacific,76.0,38.0,10.0,4,1
1840,2,0.675,0,CA,0,US/Pacific,76.0,38.0,10.0,4,1
1841,2,0.3779999999999999,0,CA,0,US/Pacific,65.0,58.0,10.0,4,1
1842,2,0.508,0,CA,0,US/Pacific,60.0,62.0,10.0,4,1
1843,2,0.512,0,CA,0,US/Pacific,75.0,38.0,10.0,4,1
1844,2,0.037,0,CA,0,US/Pacific,64.0,56.0,10.0,3,1
1845,2,0.49,0,CA,0,US/Pacific,56.0,69.0,10.0,3,1
1846,2,0.37,0,CA,0,US/Pacific,64.0,56.0,10.0,3,1
1847,2,0.436,0,CA,0,US/Pacific,76.0,29.0,10.0,4,1
1848,2,0.58,0,CA,0,US/Pacific,80.0,21.0,10.0,4,1
1849,2,0.346,0,CA,0,US/Pacific,56.0,69.0,10.0,3,1
1850,2,0.196,0,CA,0,US/Pacific,61.0,67.0,10.0,4,1
1851,2,0.643,0,CA,0,US/Pacific,63.0,56.0,10.0,3,1
1852,2,0.757,0,CA,0,US/Pacific,63.0,100.0,10.0,4,1
1853,2,0.665,0,CA,0,US/Pacific,57.0,63.0,10.0,3,1
1854,2,0.643,0,CA,0,US/Pacific,60.0,62.0,10.0,3,1
1855,2,0.506,0,CA,0,US/Pacific,60.0,55.0,10.0,4,1
1856,2,0.268,0,CA,0,US/Pacific,57.0,67.0,10.0,3,0
1857,3,0.999,0,CA,0,US/Pacific,58.0,67.0,10.0,3,0
1858,2,0.0,0,CA,0,US/Pacific,48.0,50.0,10.0,4,0
1859,2,0.124,0,CA,0,US/Pacific,57.0,55.0,10.0,4,0
1860,4,0.136,1,CA,0,US/Pacific,72.0,29.0,10.0,4,1
1861,2,0.474,0,CA,0,US/Pacific,78.0,24.0,10.0,4,1
1862,2,0.946,0,CA,0,US/Pacific,67.0,44.0,10.0,4,1
1863,2,0.282,0,CA,0,US/Pacific,79.0,23.0,10.0,4,1
1864,2,0.915,0,CA,0,US/Pacific,73.0,42.0,10.0,4,1
1865,2,1.037,0,CA,0,US/Pacific,78.0,25.0,10.0,4,1
1866,3,1.023,0,CA,0,US/Pacific,77.0,26.0,10.0,4,1
1867,2,0.324,1,CA,0,US/Pacific,63.0,32.0,10.0,4,0
1868,2,0.31,0,CA,0,US/Pacific,78.0,25.0,10.0,4,1
1869,2,0.481,0,CA,0,US/Pacific,71.0,42.0,10.0,4,1
1870,2,0.522,0,CA,0,US/Pacific,69.0,51.0,10.0,3,0
1871,3,0.484,0,CA,0,US/Pacific,59.0,58.0,10.0,4,0
1872,2,0.351,0,CA,0,US/Pacific,45.0,60.0,10.0,4,0
1873,2,0.484,0,CA,0,US/Pacific,54.0,83.0,7.0,3,1
1874,2,0.1689999999999999,0,CA,0,US/Pacific,54.0,80.0,8.0,4,1
1875,2,0.37,0,CA,0,US/Pacific,54.0,80.0,8.0,4,1
1876,2,0.435,0,CA,0,US/Pacific,53.0,91.0,10.0,4,1
1877,2,0.188,1,CA,0,US/Pacific,56.0,75.0,10.0,4,1
1878,2,0.324,0,CA,0,US/Pacific,56.0,80.0,6.0,2,1
1879,2,0.67,0,CA,0,US/Pacific,61.0,59.0,8.0,4,1
1880,2,0.011,0,CA,0,US/Pacific,53.0,86.0,10.0,3,1
1881,2,0.747,0,CA,0,US/Pacific,56.0,80.0,6.0,2,1
1882,2,0.434,0,CA,0,US/Pacific,53.0,93.0,10.0,3,1
1883,3,0.5329999999999999,0,CA,0,US/Pacific,61.0,62.0,10.0,4,1
1884,2,0.33,0,CA,0,US/Pacific,59.0,69.0,10.0,3,1
1885,3,0.583,0,CA,0,US/Pacific,58.0,75.0,7.0,3,1
1886,2,0.601,0,CA,0,US/Pacific,56.0,87.0,10.0,3,1
1887,2,0.547,0,CA,0,US/Pacific,58.0,75.0,7.0,3,1
1888,3,0.371,0,CA,0,US/Pacific,75.0,31.0,10.0,4,1
1889,3,0.763,1,CA,0,US/Pacific,77.0,30.0,10.0,4,1
1890,3,0.763,1,CA,0,US/Pacific,78.0,35.0,10.0,4,1
1891,2,0.802,0,CA,0,US/Pacific,68.0,52.0,10.0,4,1
1892,2,0.434,0,CA,0,US/Pacific,68.0,52.0,10.0,4,1
1893,2,0.665,0,CA,0,US/Pacific,59.0,82.0,8.0,4,1
1894,2,0.296,0,CA,0,US/Pacific,68.0,56.0,10.0,4,1
1895,3,0.841,0,CA,0,US/Pacific,72.0,49.0,10.0,4,1
1896,2,0.7979999999999999,0,CA,0,US/Pacific,72.0,49.0,10.0,3,1
1897,2,0.475,0,CA,0,US/Pacific,85.0,23.0,10.0,4,1
1898,2,0.001,1,CA,0,US/Pacific,72.0,33.0,10.0,3,1
1899,2,0.187,0,CA,0,US/Pacific,72.0,53.0,10.0,4,1
1900,2,0.001,1,CA,0,US/Pacific,82.0,21.0,10.0,4,1
1901,2,0.0,1,CA,0,US/Pacific,66.0,68.0,7.0,4,1
1902,2,0.573,0,CA,0,US/Pacific,80.0,35.0,10.0,4,1
1903,2,0.691,0,CA,0,US/Pacific,64.0,60.0,10.0,3,1
1904,2,0.037,0,CA,0,US/Pacific,64.0,60.0,10.0,3,1
1905,2,0.174,0,CA,0,US/Pacific,61.0,75.0,10.0,3,1
1906,3,0.604,0,CA,0,US/Pacific,82.0,21.0,10.0,4,1
1907,3,0.672,0,CA,0,US/Pacific,71.0,59.0,10.0,3,1
1908,2,0.0,0,CA,0,US/Pacific,84.0,19.0,10.0,4,1
1909,3,0.747,0,CA,0,US/Pacific,67.0,66.0,10.0,3,1
1910,2,0.0,0,CA,0,US/Pacific,77.0,26.0,10.0,4,1
1911,2,0.2739999999999999,0,CA,0,US/Pacific,83.0,32.0,10.0,4,1
1912,2,0.157,0,CA,0,US/Pacific,65.0,65.0,10.0,3,1
1913,2,0.184,0,CA,0,US/Pacific,73.0,49.0,10.0,3,1
1914,2,0.008,0,CA,0,US/Pacific,62.0,67.0,10.0,4,1
1915,2,0.514,0,CA,0,US/Pacific,71.0,49.0,10.0,3,1
1916,3,0.493,0,CA,0,US/Pacific,65.0,61.0,10.0,3,1
1917,2,0.0,0,CA,0,US/Pacific,63.0,67.0,10.0,3,1
1918,2,0.672,0,CA,0,US/Pacific,63.0,67.0,10.0,3,1
1919,2,0.0,0,CA,0,US/Pacific,64.0,73.0,10.0,4,1
1920,3,0.003,0,CA,0,US/Pacific,76.0,42.0,10.0,4,1
1921,2,0.0,1,CA,0,US/Pacific,81.0,20.0,10.0,4,1
1922,2,0.0,0,CA,0,US/Pacific,78.0,29.0,10.0,4,1
1923,2,0.0,0,CA,0,US/Pacific,64.0,73.0,10.0,4,1
1924,2,0.573,0,CA,0,US/Pacific,68.0,52.0,10.0,3,1
1925,2,0.252,0,CA,0,US/Pacific,66.0,59.0,10.0,4,1
1926,2,0.003,0,CA,0,US/Pacific,73.0,38.0,10.0,4,1
1927,2,0.526,0,CA,0,US/Pacific,60.0,75.0,10.0,4,1
1928,3,0.282,0,CA,0,US/Pacific,66.0,56.0,10.0,4,1
1929,2,0.52,0,CA,0,US/Pacific,65.0,61.0,10.0,4,1
1930,3,0.001,0,CA,0,US/Pacific,62.0,65.0,10.0,4,0
1931,3,0.513,0,CA,0,US/Pacific,55.0,77.0,10.0,4,0
1932,2,0.43,0,CA,0,US/Pacific,56.0,80.0,10.0,3,1
1933,2,0.474,0,CA,0,US/Pacific,54.0,80.0,10.0,4,1
1934,2,0.7240000000000001,0,CA,0,US/Pacific,61.0,77.0,10.0,4,1
1935,2,0.349,0,CA,0,US/Pacific,58.0,75.0,10.0,3,1
1936,2,0.502,1,CA,0,US/Pacific,61.0,77.0,10.0,4,1
1937,2,0.037,0,CA,0,US/Pacific,60.0,69.0,10.0,4,1
1938,2,0.685,0,CA,0,US/Pacific,58.0,75.0,10.0,3,1
1939,2,0.615,0,CA,0,US/Pacific,64.0,59.0,9.0,4,1
1940,3,0.738,0,CA,0,US/Pacific,59.0,82.0,7.0,2,1
1941,2,0.887,0,CA,0,US/Pacific,59.0,81.0,10.0,3,1
1942,2,0.291,0,CA,0,US/Pacific,58.0,75.0,10.0,3,1
1943,2,0.725,0,CA,0,US/Pacific,61.0,75.0,7.0,3,1
1944,2,0.1369999999999999,0,CA,0,US/Pacific,61.0,70.0,10.0,4,1
1945,3,0.248,0,CA,0,US/Pacific,61.0,75.0,9.0,3,1
1946,2,0.679,0,CA,0,US/Pacific,64.0,70.0,7.0,3,1
1947,2,0.623,0,CA,0,US/Pacific,73.0,44.0,10.0,4,1
1948,2,0.006,0,CA,0,US/Pacific,79.0,32.0,9.0,4,1
1949,2,0.0579999999999999,0,CA,0,US/Pacific,79.0,32.0,9.0,4,1
1950,2,0.366,0,CA,0,US/Pacific,66.0,60.0,9.0,4,1
1951,2,0.688,0,CA,0,US/Pacific,73.0,42.0,10.0,4,1
1952,2,0.514,0,CA,0,US/Pacific,66.0,59.0,10.0,4,1
1953,2,0.0,0,CA,0,US/Pacific,81.0,30.0,9.0,4,1
1954,2,0.0,0,CA,0,US/Pacific,68.0,52.0,10.0,3,1
1955,2,0.498,0,CA,0,US/Pacific,71.0,51.0,10.0,3,1
1956,2,0.006,0,CA,0,US/Pacific,71.0,51.0,10.0,3,1
1957,2,0.0,1,CA,0,US/Pacific,75.0,47.0,10.0,2,1
1958,2,0.001,0,CA,0,US/Pacific,81.0,34.0,10.0,4,1
1959,2,0.5489999999999999,0,CA,0,US/Pacific,81.0,34.0,10.0,4,1
1960,2,0.525,0,CA,0,US/Pacific,72.0,43.0,10.0,3,1
1961,2,0.195,0,CA,0,US/Pacific,70.0,56.0,10.0,3,1
1962,2,0.076,0,CA,0,US/Pacific,81.0,34.0,10.0,4,1
1963,2,0.0,0,CA,0,US/Pacific,70.0,56.0,10.0,3,1
1964,3,0.159,0,CA,0,US/Pacific,65.0,63.0,10.0,3,1
1965,2,0.098,0,CA,0,US/Pacific,70.0,49.0,10.0,3,1
1966,2,0.0,0,CA,0,US/Pacific,68.0,56.0,10.0,4,1
1967,2,0.0,0,CA,0,US/Pacific,59.0,75.0,10.0,3,1
1968,2,0.541,0,CA,0,US/Pacific,76.0,38.0,10.0,3,1
1969,2,0.422,0,CA,0,US/Pacific,66.0,56.0,10.0,4,1
1970,2,0.0,0,CA,0,US/Pacific,74.0,48.0,10.0,4,1
1971,2,0.255,0,CA,0,US/Pacific,63.0,65.0,10.0,3,1
1972,2,0.0,0,CA,0,US/Pacific,81.0,28.0,5.0,4,1
1973,2,0.0,0,CA,0,US/Pacific,61.0,67.0,10.0,3,1
1974,2,0.069,0,CA,0,US/Pacific,53.0,93.0,10.0,3,1
1975,2,0.119,1,CA,0,US/Pacific,58.0,78.0,10.0,3,0
1976,4,0.43,0,CA,0,US/Pacific,64.0,68.0,10.0,4,0
1977,4,0.43,1,CA,0,US/Pacific,64.0,68.0,10.0,4,0
1978,2,0.1169999999999999,0,CA,0,US/Pacific,56.0,80.0,10.0,3,1
1979,2,0.053,0,CA,0,US/Pacific,56.0,80.0,10.0,3,1
1980,2,0.05,0,CA,0,US/Pacific,53.0,86.0,10.0,3,1
1981,2,0.291,0,CA,0,US/Pacific,56.0,80.0,10.0,3,1
1982,2,0.017,0,CA,0,US/Pacific,53.0,96.0,5.0,3,1
1983,2,0.011,0,CA,0,US/Pacific,55.0,88.0,10.0,3,1
1984,2,0.047,0,CA,0,US/Pacific,57.0,77.0,10.0,3,1
1985,2,0.0,0,CA,0,US/Pacific,59.0,67.0,10.0,3,1
1986,2,0.104,0,CA,0,US/Pacific,58.0,78.0,7.0,3,1
1987,2,0.059,0,CA,0,US/Pacific,64.0,60.0,10.0,4,1
1988,2,0.022,0,CA,0,US/Pacific,58.0,78.0,7.0,3,1
1989,2,0.01,0,CA,0,US/Pacific,60.0,75.0,10.0,3,1
1990,2,0.086,0,CA,0,US/Pacific,56.0,93.0,10.0,3,1
1991,2,0.162,0,CA,0,US/Pacific,60.0,75.0,10.0,3,1
1992,2,0.035,1,CA,0,US/Pacific,61.0,77.0,10.0,4,1
1993,2,0.7040000000000001,0,CA,0,US/Pacific,60.0,69.0,10.0,3,1
1994,2,0.467,0,CA,0,US/Pacific,60.0,83.0,10.0,3,1
1995,2,0.037,0,CA,0,US/Pacific,61.0,67.0,10.0,3,1
1996,2,0.081,0,CA,0,US/Pacific,61.0,77.0,10.0,3,1
1997,2,0.626,0,CA,0,US/Pacific,63.0,72.0,10.0,3,1
1998,2,0.17,0,CA,0,US/Pacific,71.0,45.0,10.0,3,1
1999,2,0.69,0,CA,0,US/Pacific,65.0,65.0,10.0,4,1
2000,2,0.018,0,CA,0,US/Pacific,64.0,63.0,10.0,3,1
2001,2,0.8640000000000001,0,CA,0,US/Pacific,63.0,65.0,10.0,4,1
2002,2,0.3779999999999999,0,CA,0,US/Pacific,63.0,75.0,10.0,4,1
2003,2,0.011,0,CA,0,US/Pacific,68.0,58.0,10.0,3,1
2004,2,0.37,0,CA,0,US/Pacific,66.0,59.0,10.0,3,1
2005,2,0.618,0,CA,0,US/Pacific,72.0,53.0,8.0,3,1
2006,2,0.705,0,CA,0,US/Pacific,59.0,69.0,10.0,3,1
2007,2,0.084,0,CA,0,US/Pacific,72.0,46.0,10.0,3,1
2008,2,0.547,0,CA,0,US/Pacific,63.0,70.0,10.0,3,1
2009,2,0.081,0,CA,0,US/Pacific,65.0,61.0,10.0,3,1
2010,2,0.742,0,CA,0,US/Pacific,67.0,61.0,10.0,4,1
2011,2,0.208,0,CA,0,US/Pacific,65.0,61.0,10.0,3,1
2012,2,0.375,0,CA,0,US/Pacific,70.0,40.0,10.0,3,1
2013,3,0.268,0,CA,0,US/Pacific,69.0,61.0,10.0,3,1
2014,4,0.002,1,CA,0,US/Pacific,78.0,43.0,10.0,4,1
2015,2,0.243,0,CA,0,US/Pacific,67.0,61.0,10.0,4,1
2016,2,0.397,0,CA,0,US/Pacific,70.0,59.0,10.0,3,1
2017,2,0.401,0,CA,0,US/Pacific,67.0,54.0,10.0,3,1
2018,2,0.565,0,CA,0,US/Pacific,71.0,51.0,10.0,3,1
2019,3,0.268,0,CA,0,US/Pacific,71.0,55.0,10.0,3,1
2020,2,0.8190000000000001,0,CA,0,US/Pacific,67.0,52.0,10.0,3,1
2021,2,0.128,0,CA,0,US/Pacific,64.0,58.0,10.0,4,1
2022,2,0.154,1,CA,0,US/Pacific,71.0,55.0,10.0,3,1
2023,2,0.135,0,CA,0,US/Pacific,64.0,58.0,10.0,4,1
2024,2,0.413,0,CA,0,US/Pacific,71.0,55.0,10.0,3,1
2025,2,0.348,0,CA,0,US/Pacific,64.0,58.0,10.0,4,1
2026,2,0.778,0,CA,0,US/Pacific,71.0,49.0,10.0,3,1
2027,2,1.045,0,CA,0,US/Pacific,72.0,40.0,10.0,3,1
2028,2,0.4589999999999999,0,CA,0,US/Pacific,67.0,59.0,10.0,4,1
2029,2,0.621,0,CA,0,US/Pacific,68.0,60.0,10.0,3,1
2030,2,0.619,0,CA,0,US/Pacific,69.0,47.0,10.0,4,1
2031,2,0.188,0,CA,0,US/Pacific,69.0,47.0,10.0,4,1
2032,2,0.042,0,CA,0,US/Pacific,69.0,47.0,10.0,4,1
2033,2,0.026,0,CA,0,US/Pacific,77.0,39.0,9.0,4,1
2034,2,0.513,0,CA,0,US/Pacific,67.0,59.0,10.0,4,1
2035,2,0.38,0,CA,0,US/Pacific,75.0,44.0,10.0,4,1
2036,2,1.013,0,CA,0,US/Pacific,77.0,39.0,9.0,4,1
2037,2,0.954,0,CA,0,US/Pacific,68.0,59.0,10.0,3,1
2038,2,0.235,0,CA,0,US/Pacific,66.0,59.0,10.0,4,1
2039,2,0.672,0,CA,0,US/Pacific,68.0,59.0,10.0,3,1
2040,2,0.511,0,CA,0,US/Pacific,66.0,52.0,10.0,4,1
2041,2,0.7120000000000001,0,CA,0,US/Pacific,61.0,68.0,10.0,3,1
2042,2,0.7929999999999999,0,CA,0,US/Pacific,63.0,65.0,10.0,3,1
2043,2,0.32,0,CA,0,US/Pacific,73.0,44.0,10.0,4,1
2044,2,0.539,0,CA,0,US/Pacific,65.0,63.0,10.0,3,1
2045,2,0.691,0,CA,0,US/Pacific,62.0,65.0,10.0,4,1
2046,3,0.16,0,CA,0,US/Pacific,65.0,63.0,10.0,3,1
2047,2,0.716,0,CA,0,US/Pacific,63.0,67.0,10.0,3,1
2048,2,0.524,0,CA,0,US/Pacific,61.0,70.0,10.0,4,1
2049,4,0.009,1,CA,0,US/Pacific,60.0,64.0,10.0,4,0
2050,2,0.415,0,CA,0,US/Pacific,55.0,89.0,10.0,3,0
2051,2,0.288,0,CA,0,US/Pacific,56.0,93.0,10.0,3,0
2052,2,0.291,0,CA,0,US/Pacific,55.0,77.0,10.0,3,0
2053,2,0.005,1,CA,0,US/Pacific,55.0,100.0,10.0,3,1
2054,2,0.005,0,CA,0,US/Pacific,55.0,100.0,10.0,3,1
2055,2,1.177,0,CA,0,US/Pacific,56.0,77.0,10.0,3,1
2056,2,0.938,0,CA,0,US/Pacific,57.0,77.0,10.0,3,1
2057,4,0.217,0,CA,0,US/Pacific,57.0,74.0,10.0,4,1
2058,2,0.557,0,CA,0,US/Pacific,60.0,69.0,10.0,3,1
2059,2,0.63,0,CA,0,US/Pacific,57.0,77.0,10.0,3,1
2060,2,0.0559999999999999,0,CA,0,US/Pacific,59.0,72.0,10.0,3,1
2061,2,0.5329999999999999,0,CA,0,US/Pacific,57.0,74.0,10.0,3,1
2062,2,0.561,0,CA,0,US/Pacific,59.0,72.0,10.0,3,1
2063,2,0.011,0,CA,0,US/Pacific,59.0,72.0,10.0,3,1
2064,2,0.078,0,CA,0,US/Pacific,63.0,63.0,10.0,3,1
2065,2,0.51,0,CA,0,US/Pacific,63.0,63.0,10.0,3,1
2066,2,0.5670000000000001,0,CA,0,US/Pacific,63.0,72.0,10.0,3,1
2067,2,0.154,1,CA,0,US/Pacific,63.0,63.0,10.0,3,1
2068,3,0.657,0,CA,0,US/Pacific,63.0,68.0,10.0,3,1
2069,2,0.421,0,CA,0,US/Pacific,63.0,63.0,10.0,3,1
2070,2,0.542,0,CA,0,US/Pacific,61.0,78.0,10.0,3,1
2071,2,0.922,0,CA,0,US/Pacific,63.0,63.0,10.0,3,1
2072,2,0.385,0,CA,0,US/Pacific,63.0,63.0,10.0,3,1
2073,2,0.295,0,CA,0,US/Pacific,61.0,68.0,9.0,3,1
2074,2,0.037,0,CA,0,US/Pacific,63.0,65.0,10.0,3,1
2075,2,0.633,0,CA,0,US/Pacific,64.0,56.0,9.0,3,1
2076,2,0.469,0,CA,0,US/Pacific,63.0,63.0,10.0,3,1
2077,3,0.239,0,CA,0,US/Pacific,64.0,52.0,10.0,3,1
2078,2,0.129,1,CA,0,US/Pacific,67.0,52.0,10.0,3,1
2079,2,0.146,0,CA,0,US/Pacific,67.0,59.0,10.0,3,1
2080,3,0.024,0,CA,0,US/Pacific,68.0,49.0,10.0,3,1
2081,3,0.265,0,CA,0,US/Pacific,63.0,63.0,10.0,3,1
2082,2,0.119,0,CA,0,US/Pacific,63.0,63.0,10.0,3,1
2083,2,0.067,0,CA,0,US/Pacific,62.0,62.0,10.0,3,1
2084,2,0.362,0,CA,0,US/Pacific,64.0,63.0,10.0,3,1
2085,4,0.385,0,CA,0,US/Pacific,64.0,70.0,10.0,3,1
2086,4,0.385,0,CA,0,US/Pacific,64.0,67.0,10.0,3,1
2087,4,0.344,0,CA,0,US/Pacific,64.0,67.0,10.0,3,1
2088,2,0.525,0,CA,0,US/Pacific,66.0,52.0,10.0,3,1
2089,2,0.4589999999999999,0,CA,0,US/Pacific,59.0,82.0,9.0,3,1
2090,2,0.51,0,CA,0,US/Pacific,63.0,65.0,10.0,3,1
2091,3,0.4479999999999999,0,CA,0,US/Pacific,55.0,89.0,10.0,4,0
2092,2,0.444,0,CA,0,US/Pacific,58.0,75.0,10.0,4,0
2093,2,0.002,1,CA,0,US/Pacific,59.0,77.0,10.0,3,1
2094,2,0.151,0,CA,0,US/Pacific,62.0,67.0,10.0,3,1
2095,2,0.2189999999999999,0,CA,0,US/Pacific,62.0,67.0,10.0,3,1
2096,2,0.211,0,CA,0,US/Pacific,69.0,53.0,10.0,3,0
2097,2,0.33,0,CA,0,US/Pacific,53.0,86.0,10.0,3,1
2098,3,0.49,0,CA,0,US/Pacific,53.0,96.0,10.0,3,1
2099,2,0.474,0,CA,0,US/Pacific,53.0,86.0,10.0,3,1
2100,3,0.408,0,CA,0,US/Pacific,53.0,86.0,10.0,3,1
2101,2,0.682,0,CA,0,US/Pacific,57.0,83.0,9.0,3,1
2102,2,0.368,0,CA,0,US/Pacific,56.0,85.0,10.0,3,1
2103,2,0.528,0,CA,0,US/Pacific,57.0,77.0,6.0,2,1
2104,2,0.0,0,CA,0,US/Pacific,57.0,77.0,6.0,2,1
2105,3,0.444,0,CA,0,US/Pacific,57.0,74.0,10.0,3,1
2106,2,0.049,0,CA,0,US/Pacific,57.0,74.0,10.0,3,1
2107,2,0.674,0,CA,0,US/Pacific,57.0,87.0,10.0,3,1
2108,2,0.642,0,CA,0,US/Pacific,55.0,88.0,10.0,3,1
2109,2,0.623,0,CA,0,US/Pacific,63.0,63.0,9.0,4,1
2110,2,0.564,0,CA,0,US/Pacific,60.0,67.0,10.0,3,1
2111,2,0.442,0,CA,0,US/Pacific,60.0,72.0,10.0,3,1
2112,3,0.564,0,CA,0,US/Pacific,60.0,67.0,10.0,3,1
2113,2,0.516,0,CA,0,US/Pacific,62.0,65.0,10.0,3,1
2114,2,0.057,0,CA,0,US/Pacific,59.0,82.0,10.0,3,1
2115,2,0.272,0,CA,0,US/Pacific,62.0,62.0,10.0,3,1
2116,2,0.3779999999999999,0,CA,0,US/Pacific,65.0,61.0,10.0,3,1
2117,3,0.5579999999999999,0,CA,0,US/Pacific,66.0,60.0,10.0,4,1
2118,2,0.018,0,CA,0,US/Pacific,58.0,72.0,10.0,3,1
2119,2,0.374,0,CA,0,US/Pacific,71.0,55.0,10.0,4,1
2120,3,0.0,1,CA,0,US/Pacific,73.0,53.0,10.0,3,1
2121,3,0.09,1,CA,0,US/Pacific,73.0,53.0,10.0,3,1
2122,2,0.0579999999999999,0,CA,0,US/Pacific,66.0,60.0,10.0,4,1
2123,3,0.0,0,CA,0,US/Pacific,55.0,74.0,10.0,3,1
2124,2,0.373,0,CA,0,US/Pacific,67.0,57.0,10.0,4,1
2125,2,0.715,1,CA,0,US/Pacific,81.0,38.0,10.0,4,1
2126,3,0.0,0,CA,0,US/Pacific,64.0,77.0,10.0,4,1
2127,2,0.312,0,CA,0,US/Pacific,70.0,57.0,10.0,4,1
2128,2,0.0,0,CA,0,US/Pacific,63.0,77.0,10.0,4,1
2129,2,0.003,0,CA,0,US/Pacific,67.0,61.0,10.0,4,1
2130,2,0.131,1,CA,0,US/Pacific,66.0,64.0,10.0,3,1
2131,2,0.2189999999999999,0,CA,0,US/Pacific,69.0,53.0,10.0,4,1
2132,2,0.7979999999999999,0,CA,0,US/Pacific,67.0,63.0,10.0,3,1
2133,2,0.0,0,CA,0,US/Pacific,71.0,53.0,10.0,4,1
2134,2,0.016,0,CA,0,US/Pacific,75.0,46.0,10.0,4,1
2135,3,0.263,0,CA,0,US/Pacific,58.0,84.0,10.0,3,1
2136,2,0.613,0,CA,0,US/Pacific,64.0,67.0,10.0,4,1
2137,3,0.026,1,CA,0,US/Pacific,58.0,87.0,10.0,4,1
2138,3,0.268,0,CA,0,US/Pacific,56.0,90.0,10.0,4,0
2139,2,0.026,0,CA,0,US/Pacific,52.0,86.0,10.0,4,0
2140,2,0.471,0,CA,0,US/Pacific,52.0,93.0,9.0,3,1
2141,2,0.5489999999999999,0,CA,0,US/Pacific,54.0,83.0,10.0,3,1
2142,2,0.1669999999999999,0,CA,0,US/Pacific,53.0,96.0,9.0,3,1
2143,2,0.23,0,CA,0,US/Pacific,55.0,83.0,8.0,3,1
2144,2,0.489,0,CA,0,US/Pacific,52.0,94.0,5.0,3,1
2145,2,0.638,0,CA,0,US/Pacific,57.0,82.0,7.0,4,1
2146,2,0.425,0,CA,0,US/Pacific,53.0,93.0,10.0,3,1
2147,2,0.035,0,CA,0,US/Pacific,63.0,72.0,10.0,4,1
2148,2,0.309,0,CA,0,US/Pacific,55.0,83.0,9.0,3,1
2149,2,0.518,0,CA,0,US/Pacific,59.0,77.0,7.0,4,1
2150,2,0.178,0,CA,0,US/Pacific,56.0,93.0,8.0,3,1
2151,2,0.211,0,CA,0,US/Pacific,57.0,81.0,8.0,3,1
2152,2,0.5820000000000001,0,CA,0,US/Pacific,63.0,70.0,10.0,4,1
2153,2,0.619,0,CA,0,US/Pacific,57.0,81.0,7.0,3,1
2154,3,0.633,0,CA,0,US/Pacific,54.0,90.0,10.0,3,1
2155,2,0.049,0,CA,0,US/Pacific,56.0,80.0,10.0,3,1
2156,2,0.23,0,CA,0,US/Pacific,58.0,81.0,7.0,3,1
2157,2,0.181,0,CA,0,US/Pacific,58.0,81.0,7.0,3,1
2158,2,0.513,0,CA,0,US/Pacific,60.0,69.0,10.0,4,1
2159,2,0.171,1,CA,0,US/Pacific,57.0,77.0,10.0,3,1
2160,2,0.0,1,CA,0,US/Pacific,59.0,88.0,10.0,3,1
2161,2,0.493,0,CA,0,US/Pacific,57.0,88.0,7.0,3,1
2162,3,0.179,0,CA,0,US/Pacific,72.0,51.0,10.0,4,1
2163,2,0.418,0,CA,0,US/Pacific,76.0,46.0,10.0,4,1
2164,2,0.335,0,CA,0,US/Pacific,73.0,53.0,10.0,4,1
